strategy,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit,misfit_gap,matched_target_misfit,comparison_scope
augmentation,raw,1,12.097668287520364,0.3467900281685472,0.175625,0.6382921240201507,502727.79375,505965.21875,508966.753125,True,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677,49.82763784335911,61.92530613087948,diagnostic stage comparison; an intermediate ES-MDA stage is not equivalent to a completed run with fewer assimilations
augmentation,pca,1,11.933877531181963,0.33941719063094217,0.1646875,0.5812166410976103,502670.65625,506139.609375,508998.7375,True,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,8feec05e63599aa6b413edc332d2625828f92214,aef9dca4a87b64bdc657ff6a18322281404ad677,49.991428599697514,61.92530613087948,diagnostic stage comparison; an intermediate ES-MDA stage is not equivalent to a completed run with fewer assimilations
augmentation,fm,4,61.92530613087948,0.4813266428962442,0.16843750000000002,0.7030757484775555,495305.015625,500046.953125,504164.75,False,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aef9dca4a87b64bdc657ff6a18322281404ad677,0.0,61.92530613087948,diagnostic stage comparison; an intermediate ES-MDA stage is not equivalent to a completed run with fewer assimilations
