strategy,variant,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit
augmentation,pca_na8,pca,1,12.0745590909438,0.3440906757105192,0.159375,0.6200301040058116,502734.81875,506034.265625,508849.7125,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,2,5.0543368466286225,0.32320648647286543,0.136875,0.5119535568549436,504077.54375,505604.65625,507414.371875,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,3,3.1284095112602626,0.31727311727882757,0.1403125,0.5132304444367085,503437.321875,504854.390625,506323.85,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,4,2.269731743147426,0.3161345595591631,0.13625,0.5188933845182802,503719.6,504729.46875,506231.13125,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,5,1.877909174346772,0.3177422003038954,0.1340625,0.5147944239608118,503619.21875,504371.21875,505658.715625,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,6,1.6822276879705913,0.32039303219948406,0.1284375,0.5189723552972592,503597.471875,504316.078125,505518.346875,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,7,1.5686722713079349,0.32024231199683684,0.12875,0.5232054619550532,503592.5875,504414.8125,505607.04375,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,pca_na8,pca,8,1.4810339985932723,0.31975234994553353,0.125625,0.5104465160353635,503644.9125,504499.234375,505326.425,True,artifacts/egg_inversion_augmentation_pca_na8.h5,27189da9a28ac6fed21838bbf9de37ad4b123d474101f74d296534f2c6f2d399,results/raw/egg_inversion_augmentation_pca_na8.json,a917cc4ed413061bc93b9d3fd6d4e932d93fc6f7abb02e4a8718874729a5568f,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,0,140.7465107424259,0.48380049015804777,0.2025,0.7851834081948177,495341.4,501319.546875,506762.478125,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,1,71.84093364856477,0.48604481959889667,0.1996875,0.7788033796022025,495951.065625,502425.859375,507151.109375,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
