variant,fopt_p10,fopt_p50,fopt_p90,truth_fopt,fopt_covered,fopt_p10_p90_width,fopt_crps,normalized_observation_energy_score,mean_normalized_data_misfit,n_sim,n_failed,connectivity_mae_to_truth,bimodality_coefficient,truth_bimodality_coefficient,field_count,component_count,component_size_p10,component_size_p50,component_size_p90,largest_component_fraction_p10,largest_component_fraction_p50,largest_component_fraction_p90,truth_field_count,truth_component_count,truth_component_size_p10,truth_component_size_p50,truth_component_size_p90,truth_largest_component_fraction_p10,truth_largest_component_fraction_p50,truth_largest_component_fraction_p90,bimodality_abs_error,largest_component_fraction_abs_error,component_size_p50_abs_error,checkpoint_sha256,source_report,source_report_sha256,source_artifact,source_artifact_sha256,source_git_commit,derived_git_commit
white,502290.84375,504827.625,506684.65625,505246.84375,True,4393.8125,499.41809375000014,13.068266032342642,12.91602433069577,500,0,0.1521875,0.4746855865084471,0.4529075695894915,100,16965,1.0,1.0,4.0,0.43882224492735805,0.6977491780134467,0.9500385753566992,1,271,1.0,1.0,5.0,0.9227301189730746,0.9227301189730746,0.9227301189730746,0.02177801691895559,0.22498094095962784,0.0,357217759522a3fd00e230f26e4994dfe0df2f23c05dfca77c7e502e46e1fa52,results/raw/egg_inversion_ablation_white_fm.json,042bf2952e98d685719554ae43c15e3d2307fb6d52d406182327ce3fffa99193,artifacts/egg_inversion_ablation_white_fm.h5,31b3c92471d70e6f7fc4f677bf3339a5f10d984b14c906be3731184a5ca27d2c,bfca719f69f4452752c65fe32adc3537e80ed4ad,0c74a3ebc82cbcd6b93c22cfe9080ba12666cecc
matern,500855.334375,504138.421875,507658.084375,505246.84375,True,6802.75,795.16475625,22.082264812985407,36.25782792395925,500,0,0.1303125,0.4843343970533118,0.4529075695894915,100,14434,1.0,1.0,6.0,0.3997287866004018,0.6789724343449104,0.926075102939311,1,271,1.0,1.0,5.0,0.9227301189730746,0.9227301189730746,0.9227301189730746,0.031426827463820306,0.24375768462816416,0.0,4ec0ab6539067b1740fd74270b79038577b0c1cd9e3c36d6648706915572bc81,results/raw/egg_inversion_ablation_matern_fm.json,31e8657b23d947720a1fba2535ba57c5c29edb3b2b231a303bc32bdbf900e369,artifacts/egg_inversion_ablation_matern_fm.h5,f4bb4fe2e475fcc0db59d40604947b6f15821a46f58f4b1a6d07648f86b8632e,1cc00ab467c4bd8cf37a210b1e0477030f7383db,0c74a3ebc82cbcd6b93c22cfe9080ba12666cecc
matern_misspec,497431.525,502821.734375,507127.1,505246.84375,True,9695.574999999953,1535.5949,24.183675249021455,26.194299855958423,500,0,0.22468749999999998,0.44905399146692204,0.4529075695894915,100,15162,1.0,1.0,6.0,0.4864518474913264,0.7397159795953624,0.9247391445741399,1,271,1.0,1.0,5.0,0.9227301189730746,0.9227301189730746,0.9227301189730746,0.0038535781225694787,0.18301413937771216,0.0,9aac7591e2a7e8a04c2e8fa01453ef740cb1b1eeb87c0d78ff153ec255c56d80,results/raw/egg_inversion_ablation_matern_misspec_fm.json,584823f94e65ee6e0fabaf5d48c33e6d315bfca5f45311d9f3e1080414d7cef7,artifacts/egg_inversion_ablation_matern_misspec_fm.h5,4695c2db18117d41ce45a201ec0b34d517947c96a43756e1d93a207633cef719,1cc00ab467c4bd8cf37a210b1e0477030f7383db,0c74a3ebc82cbcd6b93c22cfe9080ba12666cecc
