variant,source_kind,corr_len_scale,checkpoint_epoch,optimizer_steps,integration_steps,sample_count,training_loss,roundtrip_relative_error,marginal_ks,variogram_x_nrmse,variogram_y_nrmse,spanning_fraction_abs_error,bimodality_abs_error,checkpoint,checkpoint_sha256,source_artifact,source_artifact_sha256,source_git_commit,training_report,training_report_sha256,evaluation_report,evaluation_report_sha256,derived_git_commit
matern_misspec,matern,3.0,4,1252,20,128,0.22900524735450745,0.0005160753498785198,0.15592089473400528,0.608911782830588,0.6143333738583651,0.056249999999999994,0.008585689728205115,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0004.pt,bda7a126afe3deca766f8f403423526fa971b6e295291f8c4a370ffa6c591594,artifacts/egg_ablation_samples_matern_misspec_e4_s20.h5,ca9eee4476190bcec6ac842566c633b8e0cf9e23c6e5e2c9a4f931c9731e84c5,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e4_s20.json,b1e7b978222569dcf0902111840431dd82d7ac4b56bc47d3edf338d51ea8ec60,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,4,1252,50,128,0.22900524735450745,3.651672159321606e-05,0.15495603675955372,0.6060383166653306,0.6123141491473584,0.056249999999999994,0.006750126482275798,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0004.pt,bda7a126afe3deca766f8f403423526fa971b6e295291f8c4a370ffa6c591594,artifacts/egg_ablation_samples_matern_misspec_e4_s50.h5,dfc49fafad9596c93df238fa72203b3cad15d1485554ec7bfefc626913b6d572,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e4_s50.json,bf3726b638db4dd92708b44e4443580c6b9bdb4e104da06680d9e201e02fefe7,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,8,2504,10,128,0.13251687586307526,0.03043306991457939,0.08504392631919366,0.26312934020581036,0.24590892435296224,0.029687500000000006,0.02677924342287319,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0008.pt,d8d5f6f33fd94433e51867d50439d9da2440ee2dcc540963a62967e979764547,artifacts/egg_ablation_samples_matern_misspec_e8_s10.h5,a7c7fe95428c396b70f7c635fe7b09d9e3dcb11363942bd4874fab8d8570bcd4,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e8_s10.json,6cf04080c125c19e3f45742494f9b4cb3a15ab3e6a654f56cbdebe917dfc1de9,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,8,2504,20,128,0.13251687586307526,0.005448865704238415,0.07628914407373477,0.2429871758163035,0.23424833183672295,0.029687500000000006,0.03659568254962092,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0008.pt,d8d5f6f33fd94433e51867d50439d9da2440ee2dcc540963a62967e979764547,artifacts/egg_ablation_samples_matern_misspec_e8_s20.h5,a45eceb94a858bde9b639585c0241f10e06ed8ec5fa5cd4c362f9ff2a6a9e711,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e8_s20.json,f0a04d730499906da7f5b0493b7ba2177a468fc90a3b6d65617aed546f6eb0ca,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,8,2504,50,128,0.13251687586307526,0.0004144697159063071,0.0683972400689915,0.23153483420532434,0.23256621537157735,0.06875,0.04407766514703809,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0008.pt,d8d5f6f33fd94433e51867d50439d9da2440ee2dcc540963a62967e979764547,artifacts/egg_ablation_samples_matern_misspec_e8_s50.h5,1f3408829adc1995b00be57c926edf5e69e75c29526536830147ee366cf31d54,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e8_s50.json,bc8772103bb12e277a2d9192ebe0234cba1ea774313cf89f2dde96569f169fb4,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,16,5008,10,128,0.09439784288406372,0.14508290588855743,0.06693959925618492,0.17431362833644418,0.16269936435589016,0.021875000000000006,0.007231366002010409,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0016.pt,9aac7591e2a7e8a04c2e8fa01453ef740cb1b1eeb87c0d78ff153ec255c56d80,artifacts/egg_ablation_samples_matern_misspec_e16_s10.h5,d730438618779db12d502e1d4ce2a480d484d2c3df66a1b248aca46904871634,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e16_s10.json,c9096f10680e6dc4554e0457fed2782fad6a2b7688f3ab1e7beedcf81d1c0484,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,16,5008,20,128,0.09439784288406372,0.04052038490772247,0.05634996631272571,0.135991756956092,0.1260787580259484,0.0062500000000000056,0.019728201076613328,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0016.pt,9aac7591e2a7e8a04c2e8fa01453ef740cb1b1eeb87c0d78ff153ec255c56d80,artifacts/egg_ablation_samples_matern_misspec_e16_s20.h5,c77519b4c777149365eb18531fbc590a011f73d750d9af335c58e02a98560488,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e16_s20.json,21b9c2f6577fc5a35aee7b3bdfc2acce7e30cdbe0ad01c4089767327c8d2d053,6a2516421c0418431405f2e068900a0026870658
matern_misspec,matern,3.0,16,5008,50,128,0.09439784288406372,0.0034069691319018602,0.0471743532043335,0.11994755324231395,0.11549110148147274,0.037500000000000006,0.02869697467179233,artifacts/egg_models/ablation_matern_misspec/ema-epoch-0016.pt,9aac7591e2a7e8a04c2e8fa01453ef740cb1b1eeb87c0d78ff153ec255c56d80,artifacts/egg_ablation_samples_matern_misspec_e16_s50.h5,2c0caf2fce87569b789f0ecc1f9bf723dd736a6b04a18fb27f494107f9963d4b,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_matern_misspec_training.json,97e14bd570d6d3259f3494a28cad110e9b8d626f792786c72e9e3a7474b76e8b,results/raw/egg_ablation_matern_misspec_e16_s50.json,0c100e554f676b1158f8b282fd84b6a1bf74dd68d114364c7a55b765d6390625,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,4,1252,10,128,0.8100205063819885,0.0013968119164928794,0.09216341265563521,0.43889672596913254,0.465623058485251,0.0921875,0.05585981629032816,artifacts/egg_models/ablation_white/ema-epoch-0004.pt,805e8bad69b7baaf8ac4c81611568139fd8c1cbab12dd812ad36d85cee562f0b,artifacts/egg_ablation_samples_white_e4_s10.h5,290c28ca01059393a4f396b008bbee73a0e95af9b4b5bb1f131852ae20bb5045,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e4_s10.json,18e297e7c7edddfd1762c17025c078628a3e8c5cff4c1587abd4cba529267bcf,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,4,1252,20,128,0.8100205063819885,0.00021077942801639438,0.0903812914353474,0.4317263755079223,0.4596008164113589,0.0921875,0.05417983129058351,artifacts/egg_models/ablation_white/ema-epoch-0004.pt,805e8bad69b7baaf8ac4c81611568139fd8c1cbab12dd812ad36d85cee562f0b,artifacts/egg_ablation_samples_white_e4_s20.h5,326f8873f02b8f752c922952d6b0b9f8951b9b2b4979896ad8b92e7903d92620,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e4_s20.json,09e941d5516a96cb38144c3507f6e226c25c4ae3b1a3605fa98b971ac132ccb1,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,4,1252,50,128,0.8100205063819885,3.884080797433853e-05,0.08980654314666092,0.4291615747248913,0.4574479142951534,0.0921875,0.053585217907198335,artifacts/egg_models/ablation_white/ema-epoch-0004.pt,805e8bad69b7baaf8ac4c81611568139fd8c1cbab12dd812ad36d85cee562f0b,artifacts/egg_ablation_samples_white_e4_s50.h5,3926a6c7fcff4cf39a7e2ffed52df17f8a9f3f135933652baf281b0eb6cfd2ab,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e4_s50.json,bf835b7b1454432ade5e18e7fc2b85e60ac93ea605bfaa047a1befdc208654b8,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,8,2504,10,128,0.5664438009262085,0.006134890019893646,0.034047277798738756,0.14611061566553935,0.19617715922712894,0.06875,0.01572630608143155,artifacts/egg_models/ablation_white/ema-epoch-0008.pt,220efc9d47ea776e27e53af18ef0432c4e47f4afc2cdd7bce49c194007c5a792,artifacts/egg_ablation_samples_white_e8_s10.h5,f9cfa670994a31d97d60eb0f6e612350ba13162d2b9fa2a452280f2ee71cdfb2,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e8_s10.json,a93285a512f8dfb7e4c85c5293d16bb43301e6688bfc16f2ce1c3e6ecaa566ec,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,8,2504,20,128,0.5664438009262085,0.0012658366467803717,0.030545193499703555,0.12834258445238164,0.1777054767812923,0.06875,0.018614311031075526,artifacts/egg_models/ablation_white/ema-epoch-0008.pt,220efc9d47ea776e27e53af18ef0432c4e47f4afc2cdd7bce49c194007c5a792,artifacts/egg_ablation_samples_white_e8_s20.h5,54538d52ce4586c8e853f0875caefdb6460ad0d45832ecbde4948a6ccc6800d9,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e8_s20.json,c1a9c34d7ecff685a3e68b645e3f59452b416648d9ef15a26108d398d5aa1943,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,8,2504,50,128,0.5664438009262085,0.00012480745499487966,0.029063830108338295,0.12025124272829878,0.16944059180831053,0.06875,0.019983404501148327,artifacts/egg_models/ablation_white/ema-epoch-0008.pt,220efc9d47ea776e27e53af18ef0432c4e47f4afc2cdd7bce49c194007c5a792,artifacts/egg_ablation_samples_white_e8_s50.h5,a50dad1060d6765e0c36e9930ee8c332d40104188fa8889ee076ee050669200b,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e8_s50.json,5c79623752c63021f3a125f3908bb2bb51719bc92f08ab3ed877ce53c9a95a99,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,16,5008,10,128,0.6226840019226074,0.02967817336320877,0.016018654934511933,0.03376730873202695,0.048024476984975834,0.053125000000000006,0.014171711901276585,artifacts/egg_models/ablation_white/ema-epoch-0016.pt,357217759522a3fd00e230f26e4994dfe0df2f23c05dfca77c7e502e46e1fa52,artifacts/egg_ablation_samples_white_e16_s10.h5,862925e99e0d0f29e3af545f2553f83c5ca04ab93a8be7b71e2b4b4d985d6139,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e16_s10.json,953fc80d4f50c60a7cf24d85fee82324eb6dbf561f718fa44f9ac03bc6820ace,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,16,5008,20,128,0.6226840019226074,0.004456225782632828,0.015154614617582052,0.03369180135052641,0.024933525816700074,0.029687500000000006,0.018222359075416972,artifacts/egg_models/ablation_white/ema-epoch-0016.pt,357217759522a3fd00e230f26e4994dfe0df2f23c05dfca77c7e502e46e1fa52,artifacts/egg_ablation_samples_white_e16_s20.h5,b07fb0ab969eb753eca761891cbdb86d6805171047e62c48803e21a0f3a390e5,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e16_s20.json,4712b503a267990c792a0f2b2541dd03edcf450f27a7c3d17f510022d867cef4,6a2516421c0418431405f2e068900a0026870658
white,white,1.0,16,5008,50,128,0.6226840019226074,0.00038316912832669914,0.015204769309545618,0.04036307313735296,0.013985459152978571,0.029687500000000006,0.020527721805851218,artifacts/egg_models/ablation_white/ema-epoch-0016.pt,357217759522a3fd00e230f26e4994dfe0df2f23c05dfca77c7e502e46e1fa52,artifacts/egg_ablation_samples_white_e16_s50.h5,366ff9c19ccf0fcb27083772315011c5b2cd6d103fe773a65014e0c4f3f1a36d,692f98538f7cdfb8f9883bb7c2d50257b1e58f35,results/raw/egg_ablation_white_training.json,f5be87a0aa42ace4701dc0b55e000b7e9da1a8952ba281bd10d908709ad17f66,results/raw/egg_ablation_white_e16_s50.json,58b4090c9687176298a077138c183c1c4e4876582967bbcaf3bd941dbe471b1e,6a2516421c0418431405f2e068900a0026870658
