strategy,category,P10,P50,P90,truth,covered,P10_P90_width,fopt_crps,normalized_observation_energy_score,mean_normalized_data_misfit,n_sim,n_failed,source_report,source_report_sha256,config_hash,source_artifact,source_artifact_sha256,source_git_commit,derived_git_commit
augmentation,prior,495578.478125,501359.875,506762.934375,505246.84375,True,11184.456249999988,2162.514315625,57.04389806637761,140.0835681330913,500,0,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,91c2172623047b68f8f96f0bd0fcac169bbad20d847d32fe91349a47fdb0510a,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,raw,504517.8375,505500.71875,506619.815625,505246.84375,True,2101.978124999965,217.80184687499997,6.599995572934412,2.006654981770164,500,0,results/raw/egg_inversion_augmentation_raw.json,111399c1a6e9f15ea221516c0d04d29786357884f34e057aab82bc1121cb0567,91c2172623047b68f8f96f0bd0fcac169bbad20d847d32fe91349a47fdb0510a,artifacts/egg_inversion_augmentation_raw.h5,a61d18f63925df4e00e0edc9e0e93d6eba71df202f09fd565519a0f082d9bcef,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,pca,503833.58125,504820.609375,505850.003125,505246.84375,True,2016.421875,286.25253749999996,6.302983613987003,1.8851961727427389,500,0,results/raw/egg_inversion_augmentation_pca.json,a5f0977cacb8190bf4c461a10a1c5857ad29cd22302e9133bfc6b013ec07f720,4cd0e90f32fed9a2d382f18e542adba6689b92534aaa4373c622a928b2f6c944,artifacts/egg_inversion_augmentation_pca.h5,5660fd4abc89298edeaabc03a64eab911066eb016be431e515456433da0a7924,8feec05e63599aa6b413edc332d2625828f92214,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
augmentation,fm,495305.015625,500046.953125,504164.75,505246.84375,False,8859.734375,3518.03735625,45.75772653106955,61.92530594350406,500,0,results/raw/egg_inversion_augmentation_fm.json,cc9132c19a7ef5b61b9e08f45c5e952dc886128b51127e8fd49ceff21468361d,3670f929ef4e558bfcefe3bd38119f867ef4de4dd0dad3aa8d4f4c71e9358396,artifacts/egg_inversion_augmentation_fm.h5,9af4e30b975f9862c64a0af1f207effdcf7f2c7c1dc1358488a2a89d20ff27af,ccc14b09e1323023f3f1fd7ec689c2770980b88d,aaf3a4dc960c80595e258820f7a6a1d7101dceb5
